celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week_1_min_fan_percentage,week_1_max_fan_percentage,week_1_delta,week_1_point_estimate,week_2_min_fan_percentage,week_2_max_fan_percentage,week_2_delta,week_2_point_estimate,week_3_min_fan_percentage,week_3_max_fan_percentage,week_3_delta,week_3_point_estimate,week_4_min_fan_percentage,week_4_max_fan_percentage,week_4_delta,week_4_point_estimate,week_5_min_fan_percentage,week_5_max_fan_percentage,week_5_delta,week_5_point_estimate,week_6_min_fan_percentage,week_6_max_fan_percentage,week_6_delta,week_6_point_estimate,week_7_min_fan_percentage,week_7_max_fan_percentage,week_7_delta,week_7_point_estimate,week_8_min_fan_percentage,week_8_max_fan_percentage,week_8_delta,week_8_point_estimate,week_9_min_fan_percentage,week_9_max_fan_percentage,week_9_delta,week_9_point_estimate,week_10_min_fan_percentage,week_10_max_fan_percentage,week_10_delta,week_10_point_estimate,week_11_min_fan_percentage,week_11_max_fan_percentage,week_11_delta,week_11_point_estimate
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,11,0,0.125167136,0.125167136,0.091010336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,6,0,0.140751699,0.140751699,0.090880358,0,0.178891565,0.178891565,0.090937055,0,0.12230527,0.12230527,0.099893076,0,0.178172632,0.178172632,0.111086903,0,0.202626515,0.202626515,0.124920666,0,0.173921008,0.173921008,0.142875042,0,0.229761463,0.229761463,0.166820889,,,,,,,,,,,,,,,,
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,4,0,0.341413948,0.341413948,0.09085684,0,0.210598245,0.210598245,0.090929988,0,1,1,0.100071859,0,0.343849649,0.343849649,0.111080022,0,0.26561,0.26561,0.124909451,0,0.266163971,0.266163971,0.142798428,0,0.344114153,0.344114153,0.166712248,0,0.274885398,0.274885398,0.200003482,0,0.255261762,0.255261762,0.250137024,,,,,,,,
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,8,0,0.129418727,0.129418727,0.090940066,0,0.108320612,0.108320612,0.090823615,0,0.126579505,0.126579505,0.099961495,0,0.143248187,0.143248187,0.111103605,0,0.176101364,0.176101364,0.124903833,,,,,,,,,,,,,,,,,,,,,,,,
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3,0,0.502422184,0.502422184,0.090815967,0.071645918,1,0.928354082,0.090937196,0,0.177355031,0.177355031,0.099912592,0,0.217874737,0.217874737,0.111051595,0,0.505676818,0.505676818,0.125121546,0,1,1,0.142890843,0,1,1,0.166531049,0,0.342619482,0.342619482,0.199960477,0,1,1,0.249935207,0,0.338471236,0.338471236,0.333218207,,,,
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1,0,0.341413948,0.341413948,0.090856838,0,0.502035816,0.502035816,0.090918298,0,0.203661725,0.203661725,0.100120231,0,0.505258158,0.505258158,0.111290959,0.079580455,1,0.920419545,0.125101373,0,1,1,0.142890835,0,0.344114153,0.344114153,0.166712248,0.168944303,1,0.831055697,0.199981952,0,0.336139606,0.336139606,0.24999256,0.326908166,1,0.673091834,0.333456278,,,,
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,10,0,0.212607359,0.212607359,0.090852825,0,0.110999408,0.110999408,0.0909117,0,0.177355031,0.177355031,0.099912592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,11,0,0.212607359,0.212607359,0.09085282,0,0.178891565,0.178891565,0.090937055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heather Mills,Jonathan Roberts,Model,,England,39,4,7,0,0.156014716,0.156014716,0.090931423,0,0.340126054,0.340126054,0.09086549,0,1,1,0.100071856,0,0.261827105,0.261827105,0.111014423,0,0.226116364,0.226116364,0.125046809,0,0.217629059,0.217629059,0.142815391,,,,,,,,,,,,,,,,,,,,
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,5,0,0.118668658,0.118668658,0.091077043,0,0.178891565,0.178891565,0.090937057,0,0.177355031,0.177355031,0.099912592,0,0.217874737,0.217874737,0.1110516,0,0.178541429,0.178541429,0.125008624,0,0.191153137,0.191153137,0.142830186,0,0.210337654,0.210337654,0.166692516,0,0.248585578,0.248585578,0.199968065,,,,,,,,,,,,
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2,0.0653506,1,0.9346494,0.090917548,0,0.340126054,0.340126054,0.090865491,0,1,1,0.10007185,0.074887135,1,0.925112865,0.111234041,0,0.348474848,0.348474848,0.124987699,0,0.337248235,0.337248235,0.142899275,0,1,1,0.166531049,0,0.505971096,0.505971096,0.200086024,0,1,1,0.249935208,0,0.503856216,0.503856216,0.333325515,,,,
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,9,0,0.120836786,0.120836786,0.091018273,0,0.178891565,0.178891565,0.090937055,0,1,1,0.100071856,0,0.178172632,0.178172632,0.111086851,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,5,0,0.211659152,0.211659152,0.083335249,0,0.213425378,0.213425378,0.091016793,0,0.154193987,0.154193987,0.100050578,0,0.506405256,0.506405256,0.111091589,0,0.341698543,0.341698543,0.124956917,0,0.263873889,0.263873889,0.142845703,0,0.204473179,0.204473179,0.166665895,0,0.347265032,0.347265032,0.199956153,,,,,,,,,,,,
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,6,0,0.337214384,0.337214384,0.083339243,0,0.213425378,0.213425378,0.091016793,0,1,1,0.099930123,0,0.205972906,0.205972906,0.111145871,0,0.341698543,0.341698543,0.124956916,0,0.163467778,0.163467778,0.142798363,0,0.173056923,0.173056923,0.166667892,,,,,,,,,,,,,,,,
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,7,0.065528518,1,0.934471482,0.083307729,0,0.50209584,0.50209584,0.090749703,0,1,1,0.099930123,0.094034872,1,0.905965128,0.111124525,0,0.502507563,0.502507563,0.1249499,0,0.263873889,0.263873889,0.142845703,,,,,,,,,,,,,,,,,,,,
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,4,0,0.211659152,0.211659152,0.083335242,0,0.213425378,0.213425378,0.091016781,0,0.253130575,0.253130575,0.099933345,0,0.506405256,0.506405256,0.111091589,0,0.209031226,0.209031226,0.12502885,0,0.340730741,0.340730741,0.142921747,0,0.501597564,0.501597564,0.166666873,0,0.263292985,0.263292985,0.200046187,0,0.339024672,0.339024672,0.249987271,,,,,,,,
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,9,0,0.106095925,0.106095925,0.083225954,0,0.213425378,0.213425378,0.091016781,0,0.142233164,0.142233164,0.100045593,0,0.139942265,0.139942265,0.111122938,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josie Maran,Alec Mazo,Model,California,United States,29,5,12,0,0.104379024,0.104379024,0.083407674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,11,0,0.211659152,0.211659152,0.083335243,0,0.213425378,0.213425378,0.091016781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1,0,0.501940525,0.501940525,0.083325989,0.06840644,1,0.93159356,0.090584085,0,0.175718884,0.175718884,0.099964784,0,0.506405256,0.506405256,0.111091589,0,0.182559564,0.182559564,0.125026079,0,0.505550556,0.505550556,0.142828558,0,0.336528462,0.336528462,0.166666092,0.183289962,1,0.816710038,0.199974536,0,1,1,0.249865213,0,0.502095636,0.502095636,0.333354238,,,,
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2,0,0.337214384,0.337214384,0.083339245,0,0.258388361,0.258388361,0.090985592,0,1,1,0.099930123,0,0.205972906,0.205972906,0.111145841,0.104298857,1,0.895701143,0.124990033,0.119073333,1,0.880926667,0.142890257,0.16027641,1,0.83972359,0.166667158,0,0.501896141,0.501896141,0.199827872,0,1,1,0.249865213,0.30953444,1,0.69046556,0.333352409,,,,
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,10,0,0.112824467,0.112824467,0.083377943,0,0.118766608,0.118766608,0.09077024,0,0.124648192,0.124648192,0.100287682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3,0,0.211659152,0.211659152,0.083335245,0,0.340326134,0.340326134,0.090873602,0,0.253130575,0.253130575,0.09993333,0,0.205972906,0.205972906,0.111145871,0,0.165085556,0.165085556,0.125045652,0,0.185166852,0.185166852,0.142869669,0,0.336528462,0.336528462,0.166666091,0,0.213668213,0.213668213,0.200195253,0,0.260671261,0.260671261,0.250282304,0,0.376739848,0.376739848,0.333293353,,,,
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,8,0,0.211659152,0.211659152,0.083335243,0,0.118048227,0.118048227,0.090952848,0,0.130139791,0.130139791,0.099994318,0,0.128182906,0.128182906,0.111040188,0,0.165085556,0.165085556,0.125045652,,,,,,,,,,,,,,,,,,,,,,,,
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3,0,0.176253861,0.176253861,0.083338884,0,0.13957019,0.13957019,0.083168142,0,0.337709298,0.337709298,0.100014229,0,0.258876389,0.258876389,0.111056619,0,0.215290122,0.215290122,0.12500071,0,0.340730741,0.340730741,0.142919188,0,0.184447686,0.184447686,0.166916737,0.186536854,1,0.813463146,0.199808235,0,0.502267727,0.502267727,0.249985254,0,0.358964359,0.358964359,0.333335659,,,,
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,10,0,0.142984115,0.142984115,0.083330507,0,0.114215394,0.114215394,0.083465191,0,0.18126155,0.18126155,0.100000644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,8,0,0.50616784,0.50616784,0.083341091,0,0.181565694,0.181565694,0.083297512,0,0.502187982,0.502187982,0.100020724,0,0.141646667,0.141646667,0.11109875,0,0.142830893,0.142830893,0.125004344,,,,,,,,,,,,,,,,,,,,,,,,
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,7,0,0.259249259,0.259249259,0.083322297,0,0.257769601,0.257769601,0.083360553,0,0.18126155,0.18126155,0.100000644,0,0.214204222,0.214204222,0.111052486,0,0.158143265,0.158143265,0.125019044,0,0.169024762,0.169024762,0.142767687,,,,,,,,,,,,,,,,,,,,
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,6,0,0.176253861,0.176253861,0.083338884,0,0.257769601,0.257769601,0.083360548,0,0.256563947,0.256563947,0.099962437,0,0.33628963,0.33628963,0.111181653,0,0.215290122,0.215290122,0.12500071,0,0.216646667,0.216646667,0.142880692,0,0.256457492,0.256457492,0.166572628,,,,,,,,,,,,,,,,
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,4,0,0.142984115,0.142984115,0.083330511,0,0.181565694,0.181565694,0.083297511,0,0.116642667,0.116642667,0.099997001,0,0.214204222,0.214204222,0.11105251,0,0.264020612,0.264020612,0.124948774,0,0.259707222,0.259707222,0.1429627,0,0.338717077,0.338717077,0.166669685,0,0.212714082,0.212714082,0.199845659,0,0.263621364,0.263621364,0.250040337,,,,,,,,
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2,0,0.259249259,0.259249259,0.0833223,0,1,1,0.083377626,0,0.20875193,0.20875193,0.099970643,0,1,1,0.111162574,0,0.505097041,0.505097041,0.125058333,0,0.216646667,0.216646667,0.142880703,0.155361472,1,0.844638528,0.166643448,0,0.258411966,0.258411966,0.200110746,0,0.337868788,0.337868788,0.249991975,0,0.50887074,0.50887074,0.333329784,,,,
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1,0.055586389,1,0.944413611,0.08333917,0,1,1,0.083377626,0.081614947,1,0.918385053,0.100032391,0,1,1,0.111162574,0.102064566,1,0.897935434,0.124909752,0.119074762,1,0.880925238,0.142754592,0,0.501613123,0.501613123,0.166624872,0,0.503740318,0.503740318,0.200138133,0.240924091,1,0.759075909,0.249982434,0.311647081,1,0.688352919,0.333334556,,,,
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,11,0,0.114446296,0.114446296,0.083319261,0,0.108255075,0.108255075,0.083422052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,12,0,0.1217857,0.1217857,0.083356733,0,0.121755883,0.121755883,0.083371464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,9,0,0.114446296,0.114446296,0.083319261,0,0.127512214,0.127512214,0.083140275,0,0.18126155,0.18126155,0.100000645,0,0.137751111,0.137751111,0.111180335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,5,0,0.50616784,0.50616784,0.083341101,0,0.3359207,0.3359207,0.083361499,0,0.18126155,0.18126155,0.100000642,0,0.214204222,0.214204222,0.1110525,0,0.505097041,0.505097041,0.125058333,0,0.505550556,0.505550556,0.142834437,0,0.256457492,0.256457492,0.166572631,0,0.34081397,0.34081397,0.200097226,,,,,,,,,,,,
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,12,0,0.135633433,0.135633433,0.076928333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,7,0,0.099168016,0.099168016,0.076868332,0,0.11390397,0.11390397,0.090961465,0,0.141791323,0.141791323,0.111028786,0,0.210819438,0.210819438,0.111121479,0,0.162614505,0.162614505,0.124991914,0,0.19194,0.19194,0.142814243,,,,,,,,,,,,,,,,,,,,
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,6,0,0.135633433,0.135633433,0.076928333,0,0.259037274,0.259037274,0.09093644,0,0.180048668,0.180048668,0.111089541,0,0.339894811,0.339894811,0.1110822,0,0.221518462,0.221518462,0.124991262,0,0.2640475,0.2640475,0.142841876,0,0.263595442,0.263595442,0.166687464,,,,,,,,,,,,,,,,
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,4,0,0.17226836,0.17226836,0.076926028,0,0.259037274,0.259037274,0.090936442,0,0.180048668,0.180048668,0.111089561,0,0.25860819,0.25860819,0.111172251,0,0.502559103,0.502559103,0.124966566,0,0.2640475,0.2640475,0.142841876,0,0.221752707,0.221752707,0.166673001,0,0.264690882,0.264690882,0.199989186,0,0.271134279,0.271134279,0.250000338,,,,,,,,
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,10,0,0.204747905,0.204747905,0.076913891,0,0.259037274,0.259037274,0.09093644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,5,0,0.151051383,0.151051383,0.076926754,0,0.136855328,0.136855328,0.091018441,0,0.341698543,0.341698543,0.111151662,0,0.140374089,0.140374089,0.111139205,0,0.338451538,0.338451538,0.125057932,0,0.18644,0.18644,0.14283379,0,0.517001803,0.517001803,0.166654903,0,0.264690882,0.264690882,0.199989186,,,,,,,,,,,,
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2,0,0.338614339,0.338614339,0.076964878,0,1,1,0.090779744,0,0.507532688,0.507532688,0.111185726,0,0.210819438,0.210819438,0.111121479,0,0.261523462,0.261523462,0.1249949,0,0.339573333,0.339573333,0.142805128,0,0.190454524,0.190454524,0.166655065,0,0.501955784,0.501955784,0.200019265,0,0.519895498,0.519895498,0.249993871,0,0.514700882,0.514700882,0.333318449,,,,
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,13,0,0.106182491,0.106182491,0.076921953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,8,0,0.503963254,0.503963254,0.07694565,0,0.336343258,0.336343258,0.090792543,0,0.263804095,0.263804095,0.111051264,0,0.210819438,0.210819438,0.111121479,0,0.221518462,0.221518462,0.124991262,,,,,,,,,,,,,,,,,,,,,,,,
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3,0,0.338614339,0.338614339,0.076964878,0,0.151891202,0.151891202,0.090967537,0,0.263804095,0.263804095,0.111051264,0,1,1,0.111117524,0,0.162614505,0.162614505,0.124991916,0.11699,1,0.88301,0.143025657,0,0.517001803,0.517001803,0.166654914,0,0.345088039,0.345088039,0.200001221,0.21642791,1,0.78357209,0.250011911,0,0.514700882,0.514700882,0.333318449,,,,
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,11,0,0.135633433,0.135633433,0.076928332,0,0.129684535,0.129684535,0.090927438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,9,0,0.102240909,0.102240909,0.076883021,0,0.12077948,0.12077948,0.090963765,0,0.139424736,0.139424736,0.111100976,0,0.133525605,0.133525605,0.111006857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1,0.056669316,1,0.943330684,0.076899617,0,1,1,0.090779746,0.081549816,1,0.918450184,0.111251221,0,1,1,0.111117524,0.101312051,1,0.898687949,0.125014248,0,0.50312,0.50312,0.14283743,0.129270034,1,0.870729966,0.166674653,0.184331725,1,0.815668275,0.200001142,0,0.519895498,0.519895498,0.24999388,0.313732157,1,0.686267843,0.333363102,,,,
Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,8,2,0.055124568,1,0.944875432,0.076926342,0.052004746,1,0.947995254,0.076905807,0,1,1,0.083353082,0.057890331,1,0.942109669,0.090819373,0.084159206,1,0.915840794,0.111091981,0,0.338699677,0.338699677,0.124949108,0,0.338817839,0.338817839,0.142861027,0,0.501597564,0.501597564,0.166590489,0,0.501867659,0.501867659,0.199941222,0.226042397,1,0.773957603,0.250010387,0,0.505709286,0.505709286,0.33332049
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,12,0,0.155763568,0.155763568,0.076974931,0,0.212055472,0.212055472,0.076952791,0,0.127129354,0.127129354,0.083349994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,9,0,0.177618937,0.177618937,0.077030145,0,0.10700259,0.10700259,0.076915369,0,0.207860016,0.207860016,0.083294145,0,0.184554669,0.184554669,0.09085441,0,0.181724365,0.181724365,0.110986366,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,7,0,0.105839914,0.105839914,0.076921764,0,0.179849214,0.179849214,0.076924179,0,0.142692785,0.142692785,0.083423931,0,0.14925436,0.14925436,0.090819385,0,0.144015119,0.144015119,0.111079648,0,0.184567814,0.184567814,0.12518217,0,0.170303956,0.170303956,0.142793037,,,,,,,,,,,,,,,,
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,4,0,0.104555336,0.104555336,0.076835906,0,0.179849214,0.179849214,0.076924179,0,0.176489186,0.176489186,0.083311481,0,0.261348636,0.261348636,0.090901607,0,0.159836803,0.159836803,0.111051423,0,0.176625591,0.176625591,0.125007911,0,0.182214432,0.182214432,0.142814286,0,0.340801966,0.340801966,0.166546092,0,0.227699356,0.227699356,0.199950697,0,0.280806918,0.280806918,0.250243473,,,,
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1,0,0.502052613,0.502052613,0.076951952,0,0.339612642,0.339612642,0.076956112,0,1,1,0.083353082,0,0.261348636,0.261348636,0.090901613,0,0.507137857,0.507137857,0.111156184,0,0.338699677,0.338699677,0.124949108,0,0.502742253,0.502742253,0.142902959,0,0.340801966,0.340801966,0.166546092,0,0.501867659,0.501867659,0.199941222,0,0.50912742,0.50912742,0.249887679,0.323819524,1,0.676180476,0.333529807
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,10,0,0.100302058,0.100302058,0.076876522,0,0.10700259,0.10700259,0.076915369,0,0.127249088,0.127249088,0.0833259,0,0.132190496,0.132190496,0.091181289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,13,0,0.124798532,0.124798532,0.076803485,0,0.126599182,0.126599182,0.076890019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,6,0,0.209037498,0.209037498,0.077001608,0,0.179849214,0.179849214,0.07692419,0,0.176489186,0.176489186,0.083311483,0,0.184554669,0.184554669,0.09085441,0,0.213317333,0.213317333,0.111073879,0,0.216115032,0.216115032,0.125177478,0,0.338817839,0.338817839,0.142861029,0,0.207037282,0.207037282,0.166654857,,,,,,,,,,,,
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,5,0,0.257191646,0.257191646,0.076946983,0,0.25753217,0.25753217,0.076951534,0,0.255898012,0.255898012,0.083277299,0,0.340210386,0.340210386,0.090884977,0,0.507137857,0.507137857,0.111156184,0.099491116,1,0.900508884,0.124907707,0,0.207678308,0.207678308,0.142842505,0.153866154,1,0.846133846,0.166743857,0,0.262162285,0.262162285,0.200198175,,,,,,,,
Steve-O,Lacey Schwimmer,TV Personality,,England,34,8,8,0,0.124798532,0.124798532,0.076803484,0,0.10098135,0.10098135,0.076915182,0,0.119142147,0.119142147,0.083280582,0,0.133022851,0.133022851,0.090965932,0,0.136470159,0.136470159,0.111247638,0,0.163947245,0.163947245,0.124948147,,,,,,,,,,,,,,,,,,,,
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,11,0,0.155763568,0.155763568,0.076974928,0,0.126599182,0.126599182,0.076890016,0,0.13732783,0.13732783,0.08336594,0,0.143680937,0.143680937,0.091003961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3,0,0.502052613,0.502052613,0.076951952,0,0.501881792,0.501881792,0.076935254,0,1,1,0.083353082,0,0.502061116,0.502061116,0.090813043,0,0.257132857,0.257132857,0.111156697,0,0.502683172,0.502683172,0.124878372,0.126397912,1,0.873602088,0.142925156,0,0.185877436,0.185877436,0.166918613,0.186530854,1,0.813469146,0.199968684,0,0.342455753,0.342455753,0.249858461,0,0.340942381,0.340942381,0.333149703
