celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,第1周_反向均值,第1周_反向25%CI,第1周_反向75%CI,第2周_反向均值,第2周_反向25%CI,第2周_反向75%CI,第3周_反向均值,第3周_反向25%CI,第3周_反向75%CI,第4周_反向均值,第4周_反向25%CI,第4周_反向75%CI,第5周_反向均值,第5周_反向25%CI,第5周_反向75%CI,第6周_反向均值,第6周_反向25%CI,第6周_反向75%CI,第7周_反向均值,第7周_反向25%CI,第7周_反向75%CI,第8周_反向均值,第8周_反向25%CI,第8周_反向75%CI,第9周_反向均值,第9周_反向25%CI,第9周_反向75%CI,第10周_反向均值,第10周_反向25%CI,第10周_反向75%CI,第11周_反向均值,第11周_反向25%CI,第11周_反向75%CI
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,6,0.08184556983023011,0.05854526359690393,0.10720847642211467,0.08184556983023011,0.05854526359690393,0.10720847642211467,0.08943152327892265,0.06458162150470168,0.11660475963349991,0.0977386864182638,0.0711683650273903,0.12675557894632977,0.10713938806977671,0.07757807971460515,0.1381294920100466,0.11828982815294449,0.08773454988798637,0.15187306359462655,0.13303033056970673,0.10126738660322018,0.16970022612003072,,,,,,,,,,,,
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,4,0.07132053870573764,0.0445421295269817,0.10152507768239973,0.07132053870573764,0.0445421295269817,0.10152507768239973,0.0783595293551696,0.050197710646033816,0.109763084485549,0.08647238197548344,0.056303303286913596,0.1199486561353827,0.09632051803033068,0.06379304385303804,0.13143587525634387,0.10773474556632436,0.0742335381209159,0.1448838396046694,0.122607153359768,0.08521493852579982,0.1631058929544695,0.14220118424937114,0.10275166431518834,0.18776822419474248,0.16804659998498264,0.12541376844430546,0.21928661589978393,,,,,,
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,8,0.07864591673839375,0.05920280497725093,0.10189031824341227,0.07864591673839375,0.05920280497725093,0.10189031824341227,0.08565228041489072,0.06553863741862494,0.10885943403866176,0.09329782061718594,0.07233555180140734,0.11882329320420071,0.10223681188276347,0.07977112113107879,0.12820875789584246,,,,,,,,,,,,,,,,,,
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3,0.08513827314377934,0.05080150100660771,0.11900824263446651,0.08513827314377934,0.05080150100660771,0.11900824263446651,0.09335743971877136,0.05707807317176651,0.1296839361130024,0.10176081673538467,0.06476053562754937,0.1397456963714502,0.11192130857276084,0.07344745926272227,0.15139018967229984,0.1248502234624393,0.08456844459512729,0.16750179850295213,0.14155101886487745,0.09880244600054298,0.1876227906159348,0.1631967331335622,0.11685732919013572,0.21265495733331558,0.19190252698697086,0.1439349651928416,0.24635176550032306,0.23055394228083118,0.18030915442278245,0.29149185552016005,,,
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1,0.2589734555570809,0.16372633821248145,0.33614616252491597,0.2589734555570809,0.16372633821248145,0.33614616252491597,0.2772791168053283,0.18169578560109267,0.35749648839806647,0.2967976646506319,0.19548708604153187,0.3786642439538187,0.3204789638168777,0.21596176411604034,0.40416160783437577,0.3479034089270268,0.23965004512813937,0.43611965764524313,0.38254785359461424,0.2704832004950241,0.47915576296079987,0.42556662326724304,0.30518199301725657,0.5205886220736576,0.4838140493428794,0.35984704702465764,0.5862217610114104,0.5578154439994095,0.43147810273304055,0.661918884700598,,,
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,10,0.08353221797295916,0.05993229464262349,0.10900968646878248,0.08353221797295916,0.05993229464262349,0.10900968646878248,0.09116868761421242,0.0650085355497535,0.11814845659615669,,,,,,,,,,,,,,,,,,,,,,,,
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,11,0.09029976668034105,0.06484602858162802,0.11484143955956497,0.09029976668034105,0.06484602858162802,0.11484143955956497,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heather Mills,Jonathan Roberts,Model,,England,39,4,7,0.08062704076738697,0.056121869459171816,0.10642750523629915,0.08062704076738697,0.056121869459171816,0.10642750523629915,0.08850821061502716,0.0633091823341933,0.11588684903583223,0.0973763075535922,0.06985308123119077,0.1256645908646865,0.10794504403116846,0.0781289319715717,0.13787393241183646,0.11981066668483768,0.08854374409922708,0.15189668749318033,,,,,,,,,,,,,,,
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,5,0.08172672210133498,0.05341619161937338,0.11041134877539824,0.08172672210133498,0.05341619161937338,0.11041134877539824,0.08927527313316605,0.05824499721480222,0.1200200185665646,0.09773426006378616,0.06516141235281384,0.1308553681434519,0.10787915412452259,0.07406629166680985,0.14296091122155352,0.1188593422783122,0.08281989816236426,0.15747437680259985,0.1339734982421969,0.09633055004598526,0.17397316227665116,0.15245563415265634,0.11081342337209536,0.19687698254146158,,,,,,,,,
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2,0.10894664624811307,0.058333599635479294,0.15689404084077693,0.10894664624811307,0.058333599635479294,0.15689404084077693,0.11810239041371214,0.06390258582131685,0.16838006138552375,0.12837385786780595,0.07107548388253437,0.18264827101760203,0.14133723546860383,0.08167026199497426,0.1977370321894965,0.1555447341161536,0.09150860542753225,0.21514213121971018,0.17442019102672573,0.10859188100707765,0.23735380451921514,0.19889786612142848,0.13176422660034018,0.2660142981557352,0.23163058481125975,0.15807811553795564,0.30448544845762926,0.2746867763659419,0.19727668232981546,0.3516345504359265,,,
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,9,0.08163947904219537,0.058357605911840776,0.1053653642185232,0.08163947904219537,0.058357605911840776,0.1053653642185232,0.08923918143800039,0.06544615818736213,0.11417378914260606,0.09818714547401365,0.07268852041373138,0.12430003170640691,,,,,,,,,,,,,,,,,,,,,
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,5,0.09555402811646113,0.060817207746153054,0.12823162102515656,0.10098844888813474,0.06449258712774436,0.13589186111144647,0.11059456621605175,0.07218251187039638,0.14712714174345667,0.11842307723460252,0.0782687648381306,0.1571365527790351,0.1282582816573684,0.08648451554907333,0.16898153579353709,0.1410075857183565,0.09620119999732687,0.18571542506527194,0.16111118855258394,0.11153749738484114,0.21093290476926513,0.1802157766810768,0.12824755262736748,0.23516591920348923,,,,,,,,,
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,6,0.06213991366649077,0.04126174719532459,0.08373487778844246,0.06647484431534756,0.04532663160094584,0.08866220594387136,0.0738535519159411,0.050587240094163384,0.09805768629916754,0.08029072600623686,0.056300150587681494,0.10572130569418772,0.08786874040983537,0.06288860503243274,0.1145921695670031,0.09801178116049089,0.07251208524283496,0.12701232008158617,0.11315638393672998,0.08582619347055644,0.1459008184067347,,,,,,,,,,,,
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,7,0.08916790846447302,0.058563408533506195,0.1204868113171311,0.09477645474727041,0.06315600424090448,0.1267543793165774,0.10474968548352533,0.07175406291943916,0.14032133976093603,0.1127548397852359,0.07797924951443327,0.14954442646471486,0.12270412790617517,0.08550820832649658,0.1610880143466398,0.13563575894488303,0.09701167144108762,0.17651692755802428,,,,,,,,,,,,,,,
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,4,0.08333081993072469,0.05118982527761261,0.11556295556068981,0.08820156406051337,0.055730364238183776,0.1212170595077825,0.09688727460490588,0.06236289462438272,0.1312037267789265,0.10425688219901522,0.06868317597392375,0.13990336244556487,0.11321575767211187,0.07620744728796344,0.1511596946418432,0.12481270839470401,0.0848721667028619,0.16543633589921536,0.14365543284060414,0.10299913024822527,0.1880729295692833,0.16146525936717346,0.11508413329637908,0.20868937374047464,0.19549051293774503,0.1472616018899544,0.24826835942926107,,,,,,
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,9,0.06569601797874247,0.04705036827429327,0.08554122686619203,0.06975732959723663,0.05042643739332534,0.09052660261803859,0.0773782784567917,0.057086774757424914,0.09931005519033066,0.08340906861310611,0.06260617071319285,0.10678245903517766,,,,,,,,,,,,,,,,,,,,,
Josie Maran,Alec Mazo,Model,California,United States,29,5,12,0.061172775933718684,0.044100091178736325,0.07999960196714535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,11,0.0932628686047689,0.06241405479887963,0.12163543724116167,0.09869180202014055,0.06741514606389516,0.12834482914456857,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1,0.10109412568085986,0.0532574157637018,0.1467554678445569,0.10682396425846565,0.05800045800787813,0.15429421422473416,0.11714801122617546,0.06720945226564938,0.16629688914702462,0.1250999330881854,0.0713157921702672,0.1757221817704933,0.13477347886112095,0.08039264025563247,0.18855805469417736,0.14704628708090053,0.09034975880070517,0.20364738519932424,0.16748015964571583,0.1064641962565918,0.22644395888789903,0.18640411631375634,0.12339995215707404,0.2518240392889066,0.22398782733567354,0.15381207863383559,0.29515178172162443,0.27422312239335017,0.20054328526376897,0.34869771761090207,,,
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2,0.24496174638454932,0.1489829046997738,0.3273741373335639,0.256119502049463,0.15765397314775476,0.34072660228492435,0.27548499392023684,0.17300321199548363,0.3657604448265173,0.29124098590607905,0.18521829235025633,0.38526415626271604,0.3097821637050914,0.20001240489781996,0.40698943499452994,0.33426642197252426,0.21997552764668557,0.4330247082174609,0.3725074838387537,0.250468565959965,0.4764648747446994,0.4073956227478058,0.2798984065567952,0.5141239141373847,0.4733946272314606,0.34180542893434274,0.5869085903865323,0.5596818037210415,0.4192224362492308,0.6763407905365195,,,
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,10,0.0637542741187361,0.045134599494465896,0.08333656796200342,0.06781809312893236,0.048037647492852144,0.08821933114251179,0.07452005552919379,0.05352857842769744,0.09691408108894861,,,,,,,,,,,,,,,,,,,,,,,,
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3,0.08369781219284665,0.04561443629522841,0.12258310487490101,0.0885189345863518,0.04948128807023543,0.129418518724245,0.09734341671595559,0.05511132778158374,0.13984887244431643,0.10454321359876301,0.06136785619928459,0.14879607737406203,0.11322691651249969,0.06839185121628634,0.1603852126782208,0.12389191489836526,0.07827642511670999,0.173346122062603,0.1411103193998,0.09040182517691087,0.19386316061275752,0.15809998233818637,0.10507443358651049,0.2145839869559856,0.19022375426547516,0.13215976744392724,0.25357699820566343,0.23465532161700214,0.17275244491025896,0.30872425457876757,,,
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,8,0.0718390695273084,0.05138192389242417,0.09414923484864447,0.07635789639341986,0.05530631132230089,0.09979412208908084,0.08395656992302418,0.060788384527461894,0.10867985558166748,0.09021396082477143,0.06634086051893212,0.11580760323496787,0.09794372235473953,0.07280356588361311,0.1252513575149306,,,,,,,,,,,,,,,,,,
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3,0.08194454764547941,0.04300979089613786,0.12171826760929888,0.08194454764547941,0.04300979089613786,0.12171826760929888,0.09268404321579966,0.05121988176043907,0.13513387215541062,0.1017258310109437,0.058460980599029586,0.14643781109989043,0.11028022889296216,0.06578488133043972,0.15764986502477793,0.12045108233173138,0.07420145267903006,0.17105470077778787,0.13415661127407622,0.08465913431452476,0.18573609061077345,0.15440314195476879,0.10265808281095178,0.2103432379755182,0.1884204786585649,0.13547380839328774,0.2503421169116468,0.22759103792315472,0.17262443348979561,0.29625097477272455,,,
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,10,0.08285856878138148,0.06019641732435619,0.10775544670572554,0.08285856878138148,0.06019641732435619,0.10775544670572554,0.09364017007905256,0.06802481500027749,0.1198819281765356,,,,,,,,,,,,,,,,,,,,,,,,
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,8,0.06516813551329168,0.046190774757544205,0.08677465384133283,0.06516813551329168,0.046190774757544205,0.08677465384133283,0.07495338945118565,0.05462359303506715,0.0983529309797481,0.08335753448273114,0.06107194287940909,0.10793925254374989,0.09076315601055478,0.06801661361455073,0.11634290033370834,,,,,,,,,,,,,,,,,,
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,7,0.06890554362174273,0.04869427556264369,0.09165999840401536,0.06890554362174273,0.04869427556264369,0.09165999840401536,0.07957779075688948,0.05790381815596679,0.10470167973932576,0.08760434263069565,0.06474491659866895,0.11478890290047451,0.09549176507091699,0.07159816476728717,0.12418882439620016,0.1049279615532096,0.0795065287817326,0.13572400188742284,,,,,,,,,,,,,,,
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,6,0.08363241073954322,0.05507239879772875,0.11273158522995282,0.08363241073954322,0.05507239879772875,0.11273158522995282,0.09569839719055208,0.0656339761431182,0.12745731130131954,0.10524934006981661,0.07221284524823088,0.1380616301965716,0.114582177981215,0.08001732629842997,0.1490013950474304,0.12542106540519116,0.08978894554033358,0.16199032370416222,0.1395068267516394,0.10078666250409384,0.18023909851712094,,,,,,,,,,,,
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,4,0.07041614596498177,0.04486605592143176,0.0986566074821161,0.07041614596498177,0.04486605592143176,0.0986566074821161,0.0806838011989123,0.05311287076335874,0.11243120997744888,0.08840761938666915,0.05996293779892921,0.12175200740883604,0.09625253985346782,0.06674468635886287,0.13141817358423258,0.10597105315922153,0.07374953439144867,0.14384597510784106,0.11878341376620517,0.08459496633792216,0.15830038443246178,0.13887242458913635,0.10212627338625546,0.18178548649885426,0.17033338581296414,0.1287107316801117,0.22171816712202497,,,,,,
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2,0.10764856914524808,0.055173442369009444,0.1538264735578061,0.10764856914524808,0.055173442369009444,0.1538264735578061,0.12182962945294576,0.06543492929380137,0.1712693379997458,0.13231561844547163,0.07493977543604922,0.18416159193912016,0.14291407384327523,0.08384405573580539,0.19691648261941352,0.15546748623440693,0.09403463302662445,0.21032686965236572,0.1710793234025914,0.10519862792069162,0.2317868423369562,0.19592250641613954,0.13011050210158953,0.259975754373746,0.23424493390635423,0.1591671463275647,0.3067306225763936,0.2787206214642423,0.20090560665680726,0.36127739183346963,,,
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1,0.2405138511255682,0.1495093039597592,0.3148205461825012,0.2405138511255682,0.1495093039597592,0.3148205461825012,0.2665502984043216,0.16986477985918985,0.346550806990322,0.28657157216120843,0.18758495382491486,0.3680076377721486,0.3055521568166198,0.20398693600239207,0.3898049234541471,0.3283930680994128,0.22302546613538748,0.41881408026260153,0.3575092343463882,0.2467728674757059,0.44893252211361523,0.400714538070407,0.284794156543068,0.4955222520460735,0.46733809881969296,0.34685694013909996,0.5652875399031967,0.5419470522707145,0.4081546643716616,0.644824573823317,,,
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,11,0.06542067394936069,0.049498907700352146,0.08333586589279222,0.06542067394936069,0.049498907700352146,0.08333586589279222,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,12,0.06703565660147434,0.04764573722736373,0.08729341746098465,0.06703565660147434,0.04764573722736373,0.08729341746098465,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,9,0.06512378370184545,0.045858976048553046,0.08624593840328533,0.06512378370184545,0.045858976048553046,0.08624593840328533,0.07462040314913523,0.05353010970600966,0.0982006107162847,0.08239555849769536,0.05919910520107663,0.10710257147253327,,,,,,,,,,,,,,,,,,,,,
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,5,0.09558056279885596,0.06360711468029216,0.12838813950020825,0.09558056279885596,0.06360711468029216,0.12838813950020825,0.10906274157990861,0.07392755399668881,0.144169541658498,0.11908582204128687,0.08219164416234426,0.15687241224728582,0.12878978610889852,0.09025044216170876,0.1686441203870188,0.14107678063725476,0.1011514842419892,0.18308465133711593,0.15700060922516537,0.11281435512398319,0.19905154182916424,0.18121578815859116,0.13421056521421224,0.22960140682943936,,,,,,,,,
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,12,0.07041199688562927,0.050259092176136444,0.09032633980770288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,7,0.06930250919730366,0.04586902551624565,0.09386889989560046,0.07812948440974958,0.053394502522774355,0.10431635681622971,0.09286562292908337,0.06560658961198679,0.12185587106765397,0.09286562292908337,0.06560658961198679,0.12185587106765397,0.10050471059820185,0.07230518494557374,0.13097265128163085,0.11226231819499022,0.08301187129986407,0.14498039657581788,,,,,,,,,,,,,,,
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,6,0.07974895793890528,0.053647673603000864,0.10683404927936081,0.08995810124317143,0.061814877766187146,0.12036533411008551,0.10801106875148107,0.07634103949790558,0.14071534526730817,0.10801106875148107,0.07634103949790558,0.14071534526730817,0.1166867165469347,0.08309014885334494,0.151601290580284,0.12992679755613729,0.09466833284495295,0.16746768177450533,0.1450191277819842,0.10742530061436498,0.18515183420133338,,,,,,,,,,,,
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,4,0.0659575490768417,0.0372074297795055,0.09592000556545821,0.07520904606810896,0.044382339662780816,0.10790079380912154,0.0911781623239356,0.05653328359009052,0.12730084666239067,0.0911781623239356,0.05653328359009052,0.12730084666239067,0.09884722457878163,0.0628180656937988,0.13652543666443656,0.11174025562986324,0.07410415647285752,0.15164359539808775,0.1253672821932392,0.0839796660041671,0.17042946474381665,0.14522487071214454,0.10121852044496302,0.1933276341768696,0.17148401509622813,0.12329566140880782,0.22689458034025087,,,,,,
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,10,0.10326649626140054,0.06659853948276001,0.13568765039932515,0.11620750101786226,0.07774581262791552,0.1515758197326458,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,5,0.07388565022659951,0.050106399190561327,0.09922021775215495,0.08374886753430826,0.05803302784512633,0.11185129234816436,0.10039937484248491,0.07278123221632612,0.130866230380402,0.10039937484248491,0.07278123221632612,0.130866230380402,0.1082135061439271,0.07879222548802235,0.14054567842122492,0.12163884259316095,0.09177083190055545,0.15708007392366455,0.13570989831694127,0.10190308377664958,0.17324045261889037,0.15758500829184327,0.11980368214858686,0.1997044887023389,,,,,,,,,
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2,0.10622789262172784,0.060220506594516825,0.14921253428304893,0.11864467584544096,0.06862683046908533,0.16532631022831384,0.14021250999293497,0.08621698091856528,0.1926952725359838,0.14021250999293497,0.08621698091856528,0.1926952725359838,0.14992352072509765,0.09405484611184382,0.2041354916020881,0.16559284349213288,0.10549380972025701,0.22275781421928448,0.183151200943577,0.1213212736733398,0.24720287947429848,0.2076543686597973,0.1410070348450156,0.2791239710792495,0.24087668656164368,0.17047086545750975,0.31633951272505667,0.2836285922477606,0.2104416430664376,0.36466920541513204,,,
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,13,0.062147965537648404,0.04533040768211891,0.07965685446910369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,8,0.07700652244435724,0.054109934913041904,0.10190618332058984,0.08780221198720833,0.06267821951799224,0.11497902671706851,0.10628078966354873,0.0794878975966935,0.1365161569744563,0.10628078966354873,0.0794878975966935,0.1365161569744563,0.11464178327083872,0.0864895340413464,0.14705313038843737,,,,,,,,,,,,,,,,,,
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3,0.10605072817115907,0.05590859354195501,0.1514379329438576,0.11845687017718275,0.06459734245777218,0.1672650139866615,0.13895523912833413,0.08123458616277157,0.19306587781018053,0.13895523912833413,0.08123458616277157,0.19306587781018053,0.1491445468207949,0.09039678336601487,0.20619036216107517,0.16397013027791904,0.10089855935925376,0.2251568564996853,0.1817698149993347,0.11441571178071329,0.2471857461524773,0.20730673925359622,0.13530647639425783,0.27829003957074105,0.23963980829391096,0.1605394811238912,0.31738255436793245,0.2846272535155706,0.20310882054256021,0.36738869267030216,,,
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,11,0.06382424099811286,0.046167162793453634,0.08163185325903559,0.07277305292577291,0.05289979608631821,0.09325408439753675,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,9,0.05866387219956543,0.0407802605639276,0.07884584870127834,0.0668800932094849,0.04811854942841007,0.08867898100220763,0.08051287733984908,0.058420091981252045,0.10498780890786924,0.08051287733984908,0.058420091981252045,0.10498780890786924,,,,,,,,,,,,,,,,,,,,,
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1,0.23878327793148327,0.1487782782066262,0.30881458418666385,0.26265456596064607,0.16731011610840715,0.3375667640638397,0.3023005072400563,0.20028668189201176,0.3860813516895917,0.3023005072400563,0.20028668189201176,0.3860813516895917,0.32061242166685977,0.21471836605035355,0.4069269796537945,0.34956305917345043,0.2391158846578963,0.4428365040219579,0.38051954498334356,0.26705526483313596,0.4778252521097421,0.4266629046137577,0.3055147013350478,0.5300022041019959,0.48353446346405216,0.3562363237263813,0.587584237702247,0.5555055982578374,0.4225250488884832,0.6668293384948875,,,
