celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week_1_fail,week_2_fail,week_3_fail,week_4_fail,week_5_fail,week_6_fail,week_7_fail,week_8_fail,week_9_fail,week_10_fail,week_11_fail
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,10,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,8,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,10,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,8,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,7,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,6,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,4,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,11,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,12,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,9,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,5,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,12,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,7,correct,ERROR,ERROR,correct,ERROR,correct,correct,correct,correct,correct,correct
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,6,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,4,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,10,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,5,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,13,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,8,correct,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,11,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,9,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,8,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,12,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,9,correct,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,7,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,4,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,10,ERROR,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,13,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,6,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,5,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Steve-O,Lacey Schwimmer,TV Personality,,England,34,8,8,correct,ERROR,correct,correct,ERROR,correct,correct,correct,correct,correct,correct
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,11,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct
Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,9,16,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,12,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,9,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct,correct
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,6,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,11,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,10,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,8,correct,correct,correct,ERROR,correct,ERROR,correct,correct,correct,correct,correct
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,7,correct,correct,correct,correct,correct,ERROR,ERROR,correct,correct,correct,correct
Joanna Krupa,Derek Hough,Model,,Poland,30,9,4,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Kathy Ireland,Tony Dovolani,Model,California,United States,46,9,14,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,13,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,9,15,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,5,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,9,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,11,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,5,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,10,ERROR,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,4,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,6,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,8,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,7,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,12,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,8,correct,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,6,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,5,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct,correct
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,10,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,11,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,4,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,9,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,7,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct,correct
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3,correct,correct,correct,correct,ERROR,correct,correct,correct,ERROR,correct,correct
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,4,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,9,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,7,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,12,8,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,11,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,5,correct,correct,correct,correct,correct,correct,ERROR,ERROR,correct,correct,correct
Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,12,10,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,12,6,correct,correct,correct,ERROR,correct,correct,ERROR,correct,correct,correct,correct
Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,13,11,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,13,6,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,13,3,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,13,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,13,12,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,13,4,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,13,9,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,13,10,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct
Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,13,8,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,13,7,correct,ERROR,ERROR,correct,correct,correct,correct,correct,correct,correct,correct
Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,13,5,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,13,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
William Levy,Cheryl Burke,Actor/Actress,,Cuba,31,14,3,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,14,11,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,14,10,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Jaleel White,Kym Johnson,Actor/Actress,California,United States,35,14,7,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,14,6,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct
Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,14,5,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Martina Navratilova,Tony Dovolani,Athlete,,Czechoslovakia,55,14,12,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,14,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,14,9,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,14,8,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Katherine Jenkins,Mark Ballas,Singer/Rapper,,Wales,31,14,2,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,ERROR,correct
Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,14,4,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Gilles Marini,Peta Murgatroyd,Actor/Actress,,France,36,15,6,correct,correct,correct,correct,correct,ERROR,correct,ERROR,correct,correct,correct
Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,15,8,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct,correct
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,15,7,correct,correct,correct,ERROR,ERROR,correct,ERROR,correct,correct,correct,correct
Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,15,3,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,15,5,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,15,4,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Shawn Johnson,Derek Hough,Athlete,Iowa,United States,20,15,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Pamela Anderson,Tristan MacManus,Model,,Canada,45,15,13,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Helio Castroneves,Chelsie Hightower,Racing Driver,,Brazil,37,15,10,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,35,15,12,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,15,11,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,15,9,correct,ERROR,ERROR,ERROR,correct,correct,correct,correct,correct,correct,correct
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,29,15,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Ingo Rademacher,Kym Johnson,Actor/Actress,,Germany,41,16,5,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Zendaya,Valentin Chmerkovskiy,Actor/Actress,California,United States,16,16,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Dorothy Hamill,Tristan MacManus,Athlete,Illinois,United States,56,16,12,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Victor Ortiz,Lindsay Arnold,Athlete,Kansas,United States,26,16,8,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,16,4,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Jacoby Jones,Karina Smirnoff,Athlete,Louisiana,United States,28,16,3,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
D. L. Hughley,Cheryl Burke,Comedian,Virginia,United States,50,16,9,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Andy Dick,Sharna Burgess,Comedian,South Carolina,United States,47,16,7,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Wynonna Judd,Tony Dovolani,Singer/Rapper,Kentucky,United States,48,16,11,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Kellie Pickler,Derek Hough,Singer/Rapper,North Carolina,United States,26,16,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Lisa Vanderpump,Gleb Savchenko,TV Personality,,England,52,16,10,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Sean Lowe,Peta Murgatroyd,TV Personality,Texas,United States,29,16,6,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Valerie Harper,Tristan MacManus,Actor/Actress,New York,United States,74,17,10,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Brant Daugherty,Peta Murgatroyd,Actor/Actress,Ohio,United States,28,17,7,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,Michigan,United States,39,17,6,correct,correct,correct,correct,correct,correct,correct,ERROR,ERROR,correct,correct
Leah Remini,Tony Dovolani,Actor/Actress,New York,United States,43,17,5,correct,correct,correct,correct,ERROR,correct,correct,correct,correct,ERROR,correct
Corbin Bleu,Karina Smirnoff,Actor/Actress,New York,United States,24,17,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR
Amber Riley,Derek Hough,Actor/Actress,California,United States,27,17,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Keyshawn Johnson,Sharna Burgess,Athlete,California,United States,41,17,12,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Bill Engvall,Emma Slater,Comedian,Texas,United States,56,17,4,correct,correct,correct,correct,correct,ERROR,correct,correct,ERROR,ERROR,correct
Christina Milian,Mark Ballas,Singer/Rapper,New Jersey,United States,31,17,9,correct,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct
"Nicole ""Snooki"" Polizzi",Sasha Farber,TV Personality,,Chile,25,17,8,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Jack Osbourne,Cheryl Burke,TV Personality,,England,27,17,3,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR
Bill Nye,Tyne Stecklein,TV Personality,Washington D.C.,United States,57,17,11,ERROR,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Billy Dee Williams,Emma Slater,Actor/Actress,New York,United States,76,18,10,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Danica McKellar,Valentin Chmerkovskiy,Actor/Actress,California,United States,39,18,6,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct
James Maslow,Peta Murgatroyd,Actor/Actress,New York,United States,23,18,4,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Candace Cameron Bure,Mark Ballas,Actor/Actress,California,United States,37,18,3,correct,correct,correct,ERROR,correct,correct,correct,correct,ERROR,correct,correct
Sean Avery,Karina Smirnoff,Athlete,,Canada,33,18,11,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
