"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.48,
"SWE","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.512,
"SWE","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.431,
"CHE","GRADRATETRY","DOCTL_MEN","PC","A","2019",1.262,
"CHE","GRADRATETRY","DOCTL_MEN","PC","A","2020",1.252,
"CHE","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",1.109,
"CHE","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",1.137,
"TUR","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.263,
"TUR","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.279,
"TUR","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.318,
"TUR","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.304,
"GBR","GRADRATETRY","DOCTL_MEN","PC","A","2019",1.272,
"GBR","GRADRATETRY","DOCTL_MEN","PC","A","2020",1.232,
"GBR","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",1.166,
"GBR","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",1.19,
"CHL","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.151,
"CHL","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.096,
"CHL","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.092,
"CHL","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.065,
"EST","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.477,
"EST","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.386,
"EST","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.64,
"EST","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.625,
"ISR","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.487,
"ISR","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.522,
"LVA","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.244,
"LVA","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.15,
"LVA","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.232,
"LVA","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.175,
"LTU","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.501,
"LTU","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.578,
"LTU","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.623,
"LTU","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.69,
"SVN","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.819,
"SVN","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.859,
"SVN","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.938,
"SVN","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.991,
"OAVG","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.746,
"OAVG","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.681,
"OAVG","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.727,
"OAVG","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.688,
