TripID,UserID,StartTime,EndTime,StartLoc_X,StartLoc_Y,EndLoc_X,EndLoc_Y,Battery_Start,Battery_End
10214,U1198,2025-10-13 07:34:50,2025-10-13 07:42:50,84,0,918,1202,44,39.0
10215,U0484,2025-10-13 07:38:28,2025-10-13 07:45:28,50,35,626,1201,74,69.9
10216,U0807,2025-10-13 07:50:26,2025-10-13 07:54:26,1440,160,1042,999,41,38.0
10217,U0389,2025-10-13 07:25:08,2025-10-13 07:33:08,57,12,1018,1094,71,66.3
10218,U0240,2025-10-13 07:31:45,2025-10-13 07:35:45,146,1580,836,1031,90,86.6
10219,U1232,2025-10-13 07:14:14,2025-10-13 07:18:14,340,1565,998,856,76,73.0
10220,U0658,2025-10-13 07:27:15,2025-10-13 07:34:15,1614,165,708,1207,55,50.0
10221,U0700,2025-10-13 07:08:39,2025-10-13 07:12:39,288,1771,881,1157,90,86.6
10222,U1319,2025-10-13 07:40:15,2025-10-13 07:45:15,1748,286,942,720,63,59.6
10223,U1218,2025-10-13 07:07:56,2025-10-13 07:11:56,1652,293,1111,1031,63,59.6
10224,U0485,2025-10-13 07:57:44,2025-10-13 08:04:44,216,1723,1300,899,52,47.2
10225,U1128,2025-10-13 07:49:24,2025-10-13 07:55:24,1517,279,895,1026,77,74.1
10226,U1405,2025-10-13 07:19:55,2025-10-13 07:26:55,0,108,720,1139,86,81.2
10227,U1020,2025-10-13 07:09:55,2025-10-13 07:16:55,61,49,1053,776,65,60.7
10228,U0202,2025-10-13 07:53:02,2025-10-13 07:57:02,1675,84,1052,744,77,74.0
10229,U1312,2025-10-13 07:49:46,2025-10-13 07:54:46,242,1725,1049,768,81,76.2
10230,U0224,2025-10-13 07:03:42,2025-10-13 07:09:42,382,1649,1275,945,65,61.2
10231,U1234,2025-10-13 07:07:53,2025-10-13 07:10:53,271,1824,619,1294,40,37.8
10232,U1424,2025-10-13 07:07:06,2025-10-13 07:13:06,1475,177,872,1160,75,71.2
10233,U1298,2025-10-13 07:11:55,2025-10-13 07:17:55,358,1712,1266,913,69,64.2
10234,U1260,2025-10-13 07:04:09,2025-10-13 07:08:09,1654,154,1118,901,58,54.9
10235,U0859,2025-10-13 07:53:39,2025-10-13 07:58:39,381,1762,954,1085,51,48.0
10236,U0943,2025-10-13 07:08:02,2025-10-13 07:13:02,1638,265,1164,1052,76,72.9
10237,U1450,2025-10-13 07:04:47,2025-10-13 07:08:47,1774,293,1099,860,49,45.8
10238,U0633,2025-10-13 07:11:48,2025-10-13 07:17:48,175,123,999,1196,68,63.8
10239,U0506,2025-10-13 07:24:23,2025-10-13 07:29:23,417,1690,1056,1101,57,53.8
10240,U0652,2025-10-13 07:33:10,2025-10-13 07:39:10,1496,240,1021,1164,96,92.0
10241,U0869,2025-10-13 07:00:57,2025-10-13 07:06:57,1581,66,1151,1066,74,70.0
10242,U0882,2025-10-13 07:36:15,2025-10-13 07:41:15,0,184,987,866,53,48.7
10243,U0030,2025-10-13 07:46:59,2025-10-13 07:52:59,70,67,1250,1022,70,64.6
10244,U0983,2025-10-13 07:27:17,2025-10-13 07:30:17,1683,292,1015,788,59,56.5
10245,U0091,2025-10-13 07:34:54,2025-10-13 07:37:54,1422,322,1241,914,51,48.8
10246,U0678,2025-10-13 07:06:46,2025-10-13 07:11:46,305,1664,843,1077,51,48.2
10247,U1454,2025-10-13 07:39:00,2025-10-13 07:46:00,131,0,1177,996,94,88.3
10248,U0119,2025-10-13 07:33:48,2025-10-13 07:37:48,300,1719,735,1226,69,66.9
10249,U1452,2025-10-13 07:49:48,2025-10-13 07:52:48,423,1737,703,1210,81,79.0
10250,U0593,2025-10-13 07:41:56,2025-10-13 07:46:56,418,1766,1088,874,60,56.4
10251,U0239,2025-10-13 07:04:34,2025-10-13 07:11:34,1607,145,765,1150,77,72.6
10252,U1476,2025-10-13 07:49:13,2025-10-13 07:54:13,295,1803,1044,1039,85,81.6
10253,U1151,2025-10-13 07:23:44,2025-10-13 07:30:44,0,133,1328,1105,98,92.6
10254,U1141,2025-10-13 07:10:32,2025-10-13 07:14:32,1573,181,1157,1082,96,92.9
10255,U0639,2025-10-13 07:29:32,2025-10-13 07:35:32,46,54,1172,1029,69,64.3
10256,U0814,2025-10-13 07:57:01,2025-10-13 08:00:01,446,1750,897,1193,70,67.8
10257,U0845,2025-10-13 07:57:37,2025-10-13 08:02:37,1595,226,1077,1065,88,84.3
10258,U0589,2025-10-13 07:36:35,2025-10-13 07:42:35,202,44,1049,775,40,36.3
10259,U0553,2025-10-13 07:30:01,2025-10-13 07:37:01,1525,199,843,1281,90,85.5
10260,U0327,2025-10-13 07:24:57,2025-10-13 07:30:57,0,236,1166,1038,54,48.8
10261,U0956,2025-10-13 07:41:34,2025-10-13 07:44:34,402,1641,831,1240,40,37.8
10262,U0153,2025-10-13 07:29:27,2025-10-13 07:36:27,220,145,1145,996,74,70.2
10263,U1132,2025-10-13 07:18:09,2025-10-13 07:26:09,149,1759,1260,938,95,89.7
10264,U0191,2025-10-13 07:30:29,2025-10-13 07:35:29,1566,108,1270,1000,47,43.4
10265,U0462,2025-10-13 07:59:02,2025-10-13 08:03:02,354,1743,900,1070,69,66.1
10266,U0307,2025-10-13 07:45:22,2025-10-13 07:52:22,84,10,689,1238,95,89.6
10267,U0515,2025-10-13 07:06:16,2025-10-13 07:11:16,277,1572,1185,937,86,81.7
10268,U0365,2025-10-13 07:24:14,2025-10-13 07:29:14,0,198,788,1145,40,35.9
10269,U1277,2025-10-13 08:42:16,2025-10-13 08:48:16,363,1708,1025,902,55,50.9
10270,U1473,2025-10-13 08:14:29,2025-10-13 08:20:29,1545,179,976,1277,96,91.2
10271,U0311,2025-10-13 08:37:04,2025-10-13 08:43:04,191,1701,1133,890,68,63.4
10272,U0426,2025-10-13 08:28:55,2025-10-13 08:31:55,1562,236,930,677,62,59.0
10273,U0849,2025-10-13 08:59:26,2025-10-13 09:04:26,1662,207,1065,1122,98,94.4
10274,U0612,2025-10-13 08:31:46,2025-10-13 08:35:46,1661,145,1072,724,78,75.4
10275,U0891,2025-10-13 08:58:02,2025-10-13 09:04:02,282,1794,1318,1027,69,64.7
10276,U0024,2025-10-13 08:34:20,2025-10-13 08:40:20,288,1836,984,1071,70,66.9
10277,U1283,2025-10-13 08:18:28,2025-10-13 08:22:28,225,1669,721,1185,86,83.4
10278,U1067,2025-10-13 08:16:31,2025-10-13 08:21:31,1674,178,1214,1051,95,92.0
10279,U0733,2025-10-13 08:52:58,2025-10-13 09:00:58,4,49,824,1287,47,42.3
10280,U1281,2025-10-13 08:46:53,2025-10-13 08:51:53,140,91,1024,754,64,60.5
10281,U0521,2025-10-13 08:17:58,2025-10-13 08:21:58,242,1644,847,1165,75,72.1
10282,U0888,2025-10-13 08:52:45,2025-10-13 08:58:45,204,1701,1089,781,85,80.1
10283,U0299,2025-10-13 08:35:57,2025-10-13 08:43:57,141,148,1228,940,80,75.2
