celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week_1_fail,week_2_fail,week_3_fail,week_4_fail,week_5_fail,week_6_fail,week_7_fail,week_8_fail,week_9_fail,week_10_fail,week_11_fail
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,5,0,0,0,0,0,0,1,0,0,0,0
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,11,1,0,0,0,0,0,0,0,0,0,0
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,6,0,0,0,0,0,0,1,0,0,0,0
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,4,0,0,0,0,0,0,0,0,1,0,0
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,8,0,0,0,0,1,0,0,0,0,0,0
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3,0,0,0,0,0,0,0,0,0,1,0
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1,0,0,0,0,0,0,0,0,0,0,0
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,10,0,0,1,0,0,0,0,0,0,0,0
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,11,0,1,0,0,0,0,0,0,0,0,0
Heather Mills,Jonathan Roberts,Model,,England,39,4,7,0,0,0,0,0,1,0,0,0,0,0
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,5,0,0,0,0,0,0,0,1,0,0,0
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2,0,0,0,0,0,0,0,0,0,1,0
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,9,0,0,0,1,0,0,0,0,0,0,0
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,5,0,0,0,0,0,0,0,1,0,0,0
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,6,0,0,0,0,0,0,1,0,0,0,0
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,7,0,0,0,0,0,1,0,0,0,0,0
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,4,0,0,0,0,0,0,0,0,1,0,0
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,9,0,0,0,1,0,0,0,0,0,0,0
Josie Maran,Alec Mazo,Model,California,United States,29,5,12,1,0,0,0,0,0,0,0,0,0,0
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,11,0,1,0,0,0,0,0,0,0,0,0
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1,0,0,0,0,0,0,0,0,0,0,0
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2,0,0,0,0,0,0,0,0,0,1,0
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,10,0,0,1,0,0,0,0,0,0,0,0
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3,0,0,0,0,0,0,0,0,0,1,0
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,8,0,0,0,0,1,0,0,0,0,0,0
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3,0,0,0,0,0,0,0,0,0,1,0
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,10,0,0,1,0,0,0,0,0,0,0,0
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,8,0,0,0,0,1,0,0,0,0,0,0
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,7,0,0,0,0,0,1,0,0,0,0,0
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,6,0,0,0,0,0,0,1,0,0,0,0
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,4,0,0,0,0,0,0,0,0,1,0,0
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2,0,0,0,0,0,0,0,0,0,1,0
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1,0,0,0,0,0,0,0,0,0,0,0
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,11,0,1,0,0,0,0,0,0,0,0,0
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,12,0,1,0,0,0,0,0,0,0,0,0
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,9,0,0,0,1,0,0,0,0,0,0,0
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,5,0,0,0,0,0,0,0,1,0,0,0
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,12,1,0,0,0,0,0,0,0,0,0,0
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,7,0,0,0,0,0,1,0,0,0,0,0
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,6,0,0,0,0,0,0,1,0,0,0,0
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,4,0,0,0,0,0,0,0,0,1,0,0
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,10,0,1,0,0,0,0,0,0,0,0,0
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,5,0,0,0,0,0,0,0,1,0,0,0
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2,0,0,0,0,0,0,0,0,0,1,0
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,13,1,0,0,0,0,0,0,0,0,0,0
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,8,0,0,0,0,1,0,0,0,0,0,0
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3,0,0,0,0,0,0,0,0,0,1,0
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,11,0,1,0,0,0,0,0,0,0,0,0
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,9,0,0,0,1,0,0,0,0,0,0,0
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1,0,0,0,0,0,0,0,0,0,0,0
Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,8,2,0,0,0,0,0,0,0,0,0,0,1
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,12,0,0,1,0,0,0,0,0,0,0,0
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,9,0,0,0,0,1,0,0,0,0,0,0
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,7,0,0,0,0,0,0,1,0,0,0,0
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,4,0,0,0,0,0,0,0,0,0,1,0
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1,0,0,0,0,0,0,0,0,0,0,0
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,10,0,0,0,1,0,0,0,0,0,0,0
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,13,0,1,0,0,0,0,0,0,0,0,0
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,6,0,0,0,0,0,0,0,1,0,0,0
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,5,0,0,0,0,0,0,0,0,1,0,0
Steve-O,Lacey Schwimmer,TV Personality,,England,34,8,8,0,0,0,0,0,1,0,0,0,0,0
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,11,0,0,0,1,0,0,0,0,0,0,0
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3,0,0,0,0,0,0,0,0,0,0,1
Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,9,16,1,0,0,0,0,0,0,0,0,0,0
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,12,0,0,1,0,0,0,0,0,0,0,0
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,9,0,0,0,0,0,1,0,0,0,0,0
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,6,0,0,0,0,0,0,1,0,0,0,0
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,11,0,0,0,1,0,0,0,0,0,0,0
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,10,0,0,0,0,1,0,0,0,0,0,0
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,8,0,0,0,0,0,1,0,0,0,0,0
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,7,0,0,0,0,0,0,1,0,0,0,0
Joanna Krupa,Derek Hough,Model,,Poland,30,9,4,0,0,0,0,0,0,0,0,1,0,0
Kathy Ireland,Tony Dovolani,Model,California,United States,46,9,14,0,1,0,0,0,0,0,0,0,0,0
Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,13,0,0,1,0,0,0,0,0,0,0,0
Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,9,15,1,0,0,0,0,0,0,0,0,0,0
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,5,0,0,0,0,0,0,0,1,0,0,0
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2,0,0,0,0,0,0,0,0,0,1,0
Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1,0,0,0,0,0,0,0,0,0,0,0
Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3,0,0,0,0,0,0,0,0,0,1,0
Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,9,0,0,0,1,0,0,0,0,0,0,0
Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,11,0,1,0,0,0,0,0,0,0,0,0
Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,5,0,0,0,0,0,0,0,1,0,0,0
Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,10,0,0,1,0,0,0,0,0,0,0,0
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,4,0,0,0,0,0,0,0,0,1,0,0
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2,0,0,0,0,0,0,0,0,0,1,0
Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,6,0,0,0,0,0,0,1,0,0,0,0
Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1,0,0,0,0,0,0,0,0,0,0,0
Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3,0,0,0,0,0,0,0,0,0,1,0
Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,8,0,0,0,0,1,0,0,0,0,0,0
Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,7,0,0,0,0,0,1,0,0,0,0,0
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,12,1,0,0,0,0,0,0,0,0,0,0
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,8,0,0,0,0,1,0,0,0,0,0,0
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2,0,0,0,0,0,0,0,0,0,1,0
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1,0,0,0,0,0,0,0,0,0,0,0
Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,6,0,0,0,0,0,0,1,0,0,0,0
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,5,0,0,0,0,0,0,0,1,0,0,0
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,10,0,0,1,0,0,0,0,0,0,0,0
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,11,0,1,0,0,0,0,0,0,0,0,0
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,4,0,0,0,0,0,0,0,0,1,0,0
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,9,0,0,0,1,0,0,0,0,0,0,0
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,7,0,0,0,0,0,1,0,0,0,0,0
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3,0,0,0,0,0,0,0,0,0,1,0
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,4,0,0,0,0,0,0,0,0,1,0,0
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3,0,0,0,0,0,0,0,0,0,1,0
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2,0,0,0,0,0,0,0,0,0,1,0
Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1,0,0,0,0,0,0,0,0,0,0,0
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,9,0,0,0,1,0,0,0,0,0,0,0
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,7,0,0,0,0,0,1,0,0,0,0,0
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,12,8,0,0,0,0,1,0,0,0,0,0,0
Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,11,0,1,0,0,0,0,0,0,0,0,0
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,5,0,0,0,0,0,0,0,1,0,0,0
Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,12,10,0,0,1,0,0,0,0,0,0,0,0
Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,12,6,0,0,0,0,0,0,1,0,0,0,0
Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,13,11,0,1,0,0,0,0,0,0,0,0,0
David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,13,6,0,0,0,0,0,0,1,0,0,0,0
Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,13,3,0,0,0,0,0,0,0,0,0,1,0
J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,13,1,0,0,0,0,0,0,0,0,0,0,0
Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,13,12,1,0,0,0,0,0,0,0,0,0,0
Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,13,4,0,0,0,0,0,0,0,0,1,0,0
Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,13,9,0,0,0,1,0,0,0,0,0,0,0
Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,13,10,0,0,1,0,0,0,0,0,0,0,0
Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,13,8,0,0,0,0,1,0,0,0,0,0,0
Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,13,7,0,0,0,0,0,1,0,0,0,0,0
Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,13,5,0,0,0,0,0,0,0,1,0,0,0
Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,13,2,0,0,0,0,0,0,0,0,0,1,0
William Levy,Cheryl Burke,Actor/Actress,,Cuba,31,14,3,0,0,0,0,0,0,0,0,0,1,0
Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,14,11,0,0,1,0,0,0,0,0,0,0,0
Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,14,10,0,0,0,1,0,0,0,0,0,0,0
Jaleel White,Kym Johnson,Actor/Actress,California,United States,35,14,7,0,0,0,0,0,0,1,0,0,0,0
Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,14,6,0,0,0,0,0,0,0,1,0,0,0
Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,14,5,0,0,0,0,0,0,0,1,0,0,0
Martina Navratilova,Tony Dovolani,Athlete,,Czechoslovakia,55,14,12,0,1,0,0,0,0,0,0,0,0,0
Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,14,1,0,0,0,0,0,0,0,0,0,0,0
Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,14,9,0,0,0,0,1,0,0,0,0,0,0
Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,14,8,0,0,0,0,0,1,0,0,0,0,0
Katherine Jenkins,Mark Ballas,Singer/Rapper,,Wales,31,14,2,0,0,0,0,0,0,0,0,0,1,0
Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,14,4,0,0,0,0,0,0,0,0,1,0,0
Gilles Marini,Peta Murgatroyd,Actor/Actress,,France,36,15,6,0,0,0,0,0,0,0,1,0,0,0
Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,15,8,0,0,0,0,0,1,0,0,0,0,0
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,15,7,0,0,0,0,0,0,0,1,0,0,0
Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,15,3,0,0,0,0,0,0,0,0,0,1,0
Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,15,5,0,0,0,0,0,0,0,0,1,0,0
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,15,4,0,0,0,0,0,0,0,0,1,0,0
Shawn Johnson,Derek Hough,Athlete,Iowa,United States,20,15,2,0,0,0,0,0,0,0,0,0,1,0
Pamela Anderson,Tristan MacManus,Model,,Canada,45,15,13,1,0,0,0,0,0,0,0,0,0,0
Helio Castroneves,Chelsie Hightower,Racing Driver,,Brazil,37,15,10,0,0,1,0,0,0,0,0,0,0,0
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,35,15,12,0,1,0,0,0,0,0,0,0,0,0
Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,15,11,0,0,1,0,0,0,0,0,0,0,0
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,15,9,0,0,0,1,0,0,0,0,0,0,0
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,29,15,1,0,0,0,0,0,0,0,0,0,0,0
Ingo Rademacher,Kym Johnson,Actor/Actress,,Germany,41,16,5,0,0,0,0,0,0,0,0,1,0,0
Zendaya,Valentin Chmerkovskiy,Actor/Actress,California,United States,16,16,2,0,0,0,0,0,0,0,0,0,1,0
Dorothy Hamill,Tristan MacManus,Athlete,Illinois,United States,56,16,12,0,1,0,0,0,0,0,0,0,0,0
Victor Ortiz,Lindsay Arnold,Athlete,Kansas,United States,26,16,8,0,0,0,0,0,1,0,0,0,0,0
Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,16,4,0,0,0,0,0,0,0,0,0,1,0
Jacoby Jones,Karina Smirnoff,Athlete,Louisiana,United States,28,16,3,0,0,0,0,0,0,0,0,0,1,0
D. L. Hughley,Cheryl Burke,Comedian,Virginia,United States,50,16,9,0,0,0,0,1,0,0,0,0,0,0
Andy Dick,Sharna Burgess,Comedian,South Carolina,United States,47,16,7,0,0,0,0,0,0,1,0,0,0,0
Wynonna Judd,Tony Dovolani,Singer/Rapper,Kentucky,United States,48,16,11,0,0,1,0,0,0,0,0,0,0,0
Kellie Pickler,Derek Hough,Singer/Rapper,North Carolina,United States,26,16,1,0,0,0,0,0,0,0,0,0,0,0
Lisa Vanderpump,Gleb Savchenko,TV Personality,,England,52,16,10,0,0,0,1,0,0,0,0,0,0,0
Sean Lowe,Peta Murgatroyd,TV Personality,Texas,United States,29,16,6,0,0,0,0,0,0,0,1,0,0,0
Valerie Harper,Tristan MacManus,Actor/Actress,New York,United States,74,17,10,0,0,0,1,0,0,0,0,0,0,0
Brant Daugherty,Peta Murgatroyd,Actor/Actress,Ohio,United States,28,17,7,0,0,0,0,0,0,0,1,0,0,0
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,Michigan,United States,39,17,6,0,0,0,0,0,0,0,0,1,0,0
Leah Remini,Tony Dovolani,Actor/Actress,New York,United States,43,17,5,0,0,0,0,0,0,0,0,0,1,0
Corbin Bleu,Karina Smirnoff,Actor/Actress,New York,United States,24,17,2,0,0,0,0,0,0,0,0,0,0,1
Amber Riley,Derek Hough,Actor/Actress,California,United States,27,17,1,0,0,0,0,0,0,0,0,0,0,0
Keyshawn Johnson,Sharna Burgess,Athlete,California,United States,41,17,12,0,1,0,0,0,0,0,0,0,0,0
Bill Engvall,Emma Slater,Comedian,Texas,United States,56,17,4,0,0,0,0,0,0,0,0,0,0,1
Christina Milian,Mark Ballas,Singer/Rapper,New Jersey,United States,31,17,9,0,0,0,0,1,0,0,0,0,0,0
"Nicole ""Snooki"" Polizzi",Sasha Farber,TV Personality,,Chile,25,17,8,0,0,0,0,0,0,1,0,0,0,0
Jack Osbourne,Cheryl Burke,TV Personality,,England,27,17,3,0,0,0,0,0,0,0,0,0,0,1
Bill Nye,Tyne Stecklein,TV Personality,Washington D.C.,United States,57,17,11,0,0,1,0,0,0,0,0,0,0,0
Billy Dee Williams,Emma Slater,Actor/Actress,New York,United States,76,18,10,0,1,0,0,0,0,0,0,0,0,0
Danica McKellar,Valentin Chmerkovskiy,Actor/Actress,California,United States,39,18,6,0,0,0,0,0,0,0,1,0,0,0
James Maslow,Peta Murgatroyd,Actor/Actress,New York,United States,23,18,4,0,0,0,0,0,0,0,0,0,1,0
Candace Cameron Bure,Mark Ballas,Actor/Actress,California,United States,37,18,3,0,0,0,0,0,0,0,0,0,1,0
Sean Avery,Karina Smirnoff,Athlete,,Canada,33,18,11,0,1,0,0,0,0,0,0,0,0,0
Diana Nyad,Henry Byalikov,Athlete,New York,United States,64,18,12,1,0,0,0,0,0,0,0,0,0,0
Charlie White,Sharna Burgess,Athlete,Michigan,United States,26,18,5,0,0,0,0,0,0,0,0,1,0,0
Amy Purdy,Derek Hough,Athlete,Nevada,United States,34,18,2,0,0,0,0,0,0,0,0,0,1,0
Meryl Davis,Maksim Chmerkoskiy,Athlete,Michigan,United States,27,18,1,0,0,0,0,0,0,0,0,0,0,0
Drew Carey,Cheryl Burke,Comedian,Ohio,United States,55,18,8,0,0,0,0,0,1,0,0,0,0,0
Cody Simpson,Witney Carson,Singer/Rapper,,Australia,17,18,9,0,0,0,0,1,0,0,0,0,0,0
NeNe Leakes,Tony Dovolani,TV Personality,New York,United States,46,18,7,0,0,0,0,0,0,1,0,0,0,0
Antonio Sabato Jr.,Cheryl Burke,Actor/Actress,,Italy,42,19,8,0,0,0,0,0,0,1,0,0,0,0
Jonathan Bennett,Allison Holker,Actor/Actress,Ohio,United States,33,19,9,0,0,0,0,0,1,0,0,0,0,0
Lea Thompson,Artem Chigvintsev,Actor/Actress,Minnesota,United States,53,19,6,0,0,0,0,0,0,0,0,1,0,0
Janel Parrish,Valentin Chmerkovskiy,Actor/Actress,Hawaii,United States,25,19,3,0,0,0,0,0,0,0,0,0,0,1
Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,19,1,0,0,0,0,0,0,0,0,0,0,0
Lolo Jones,Keo Motsepe,Athlete,Iowa,United States,32,19,13,1,0,0,0,0,0,0,0,0,0,0
Randy Couture,Karina Smirnoff,Athlete,Washington,United States,51,19,11,0,0,1,0,0,0,0,0,0,0,0
Tommy Chong,Peta Murgatroyd,Comedian,,Canada,76,19,5,0,0,0,0,0,0,0,0,0,1,0
Betsey Johnson,Tony Dovolani,Fashion Designer,Connecticut,United States,72,19,10,0,0,0,1,0,0,0,0,0,0,0
Michael Waltrip,Emma Slater,Racing Driver,Kentucky,United States,51,19,7,0,0,0,0,0,0,0,1,0,0,0
Tavis Smiley,Sharna Burgess,Radio Personality,Mississippi,United States,50,19,12,0,1,0,0,0,0,0,0,0,0,0
Bethany Mota,Derek Hough,Social Media Personality,California,United States,18,19,4,0,0,0,0,0,0,0,0,0,0,1
Sadie Robertson,Mark Ballas,TV Personality,Louisiana,United States,17,19,2,0,0,0,0,0,0,0,0,0,0,1
Suzanne Somers,Tony Dovolani,Actor/Actress,California,United States,68,20,9,0,0,0,0,1,0,0,0,0,0,0
Willow Shields,Mark Ballas,Actor/Actress,New Mexico,United States,14,20,7,0,0,0,0,0,0,1,0,0,0,0
Riker Lynch,Allison Holker,Actor/Actress,Colorado,United States,23,20,2,0,0,0,0,0,0,0,0,0,1,0
Rumer Willis,Valentin Chmerkovskiy,Actor/Actress,Kentucky,United States,26,20,1,0,0,0,0,0,0,0,0,0,0,0
